Name,Sent_rxns,Rec_rxns,Rec_msgs,Sent_msgs,Sent_msgs_per_sent_rxn,Recv_msgs_per_Rec_rxn,Sent_msgs_per_Rec_rxn,Recv_msgs_per_sent_rxn
abdulazeez_dckkanoypg,2,5,14,12,6.0,2.8,2.4,7.0
ahamadfareed_cupsmiohtg,1,4,3,3,3.0,0.75,0.75,3.0
akhilesh_qulitu4i6a,186,340,370,327,1.7580645161290323,1.088235294117647,0.961764705882353,1.989247311827957
akshayaprabhu_u8opykofua,12,18,6,14,1.1666666666666667,0.3333333333333333,0.7777777777777778,0.5
akshaya__akmxlsnxya,31,52,504,309,9.96774193548387,9.692307692307692,5.9423076923076925,16.258064516129032
alyanasallim_iswhizdn0w,1,3,38,29,29.0,12.666666666666666,9.666666666666666,38.0
ameerali_-m-oj0hctq,6,15,29,24,4.0,1.9333333333333333,1.6,4.833333333333333
anbuduraimanisha_al-oe6ycbw,25,35,18,8,0.32,0.5142857142857142,0.22857142857142856,0.72
aneesh_ytkdr1g6bq,6,25,27,31,5.166666666666667,1.08,1.24,4.5
anirudhanirutanirudh_rcazjl4m3a,9,18,18,19,2.111111111111111,1.0,1.0555555555555556,2.0
anuasohan_esatkx6g9a,34,62,41,24,0.7058823529411765,0.6612903225806451,0.3870967741935484,1.2058823529411764
araavind_nzjqghivfa,5,14,2,1,0.2,0.14285714285714285,0.07142857142857142,0.4
aravinddayalan_vg4r--8hsa,21,26,34,35,1.6666666666666667,1.3076923076923077,1.3461538461538463,1.619047619047619
ari_-c1hndzvmw,54,97,558,508,9.407407407407407,5.752577319587629,5.237113402061856,10.333333333333334
arkar_6b2ifjscda,1,4,3,5,5.0,0.75,1.25,3.0
arsubbuataikkalavan_46d6wtkl2q,5,9,9,10,2.0,1.0,1.1111111111111112,1.8
arul_70rhnhcbqw,2,11,24,27,13.5,2.1818181818181817,2.4545454545454546,12.0
arunaananthasayanam_vpfgoayo1g,11,18,41,26,2.3636363636363638,2.2777777777777777,1.4444444444444444,3.727272727272727
ashwin_gvrkly82jw,2,4,12,8,4.0,3.0,2.0,6.0
austinpua_bk4-zk-mxq,7,22,37,30,4.285714285714286,1.6818181818181819,1.3636363636363635,5.285714285714286
azallardo_d5mlmva6la,1,2,7,4,4.0,3.5,2.0,7.0
barad_kd-1hhz1xw,29,57,18,19,0.6551724137931034,0.3157894736842105,0.3333333333333333,0.6206896551724138
cherielin_mgqoquwf2w,3,6,28,38,12.666666666666666,4.666666666666667,6.333333333333333,9.333333333333334
cliffordfishwerchew_txdssx9w5w,1,2,1,1,1.0,0.5,0.5,1.0
closur_incz6pt8bg,1,6,1,1,1.0,0.16666666666666666,0.16666666666666666,1.0
cottondreams_g9iflmkrdg,6,9,33,16,2.6666666666666665,3.6666666666666665,1.7777777777777777,5.5
crispyfriedpotato_xza20jrvza,10,27,5,17,1.7,0.18518518518518517,0.6296296296296297,0.5
cupskeys_qjns4efsiw,6,18,14,16,2.6666666666666665,0.7777777777777778,0.8888888888888888,2.3333333333333335
danielho_gtudl4ym9g,2,16,75,46,23.0,4.6875,2.875,37.5
deepak_p5zdwugndq,1,3,9,10,10.0,3.0,3.3333333333333335,9.0
drq_wlapzxmy2q,33,58,74,56,1.696969696969697,1.2758620689655173,0.9655172413793104,2.242424242424242
e3tlnr4fqa,46,95,63,71,1.5434782608695652,0.6631578947368421,0.7473684210526316,1.3695652173913044
elvintan_mbybsobptw,5,18,116,84,16.8,6.444444444444445,4.666666666666667,23.2
evangelin_5cr5treoyg,3,9,2,7,2.3333333333333335,0.2222222222222222,0.7777777777777778,0.6666666666666666
facebookuser_pkv473mscg,3,6,9,7,2.3333333333333335,1.5,1.1666666666666667,3.0
facebookuser_rh9eyxyktq,3,17,4,10,3.3333333333333335,0.23529411764705882,0.5882352941176471,1.3333333333333333
fahira_excuzt7goa,25,58,155,104,4.16,2.6724137931034484,1.793103448275862,6.2
fazzzrina_0f19cvwnmg,15,60,138,168,11.2,2.3,2.8,9.2
gautham_hmgkjbqeha,48,93,75,64,1.3333333333333333,0.8064516129032258,0.6881720430107527,1.5625
geoffreyraphaelbalamurli_h7xbsrv6kg,2,2,3,2,1.0,1.5,1.0,1.5
ghayathirisondarajan_v2ev9l38yw,27,70,76,89,3.2962962962962963,1.0857142857142856,1.2714285714285714,2.814814814814815
gowtham_1yh_fq415w,1,3,15,12,12.0,5.0,4.0,15.0
grihalakshmi_pnsyrriwqq,60,134,85,62,1.0333333333333334,0.6343283582089553,0.4626865671641791,1.4166666666666667
hamidmaricar_gslkdgwgla,7,13,2,3,0.42857142857142855,0.15384615384615385,0.23076923076923078,0.2857142857142857
hareshmenon_lagp0_s2kg,91,187,475,353,3.879120879120879,2.5401069518716577,1.8877005347593583,5.21978021978022
harshitasachdev_yko9dxkuhg,38,72,61,49,1.2894736842105263,0.8472222222222222,0.6805555555555556,1.605263157894737
hazzeena_rnrdkv-ztw,1,6,5,9,9.0,0.8333333333333334,1.5,5.0
hema_zdjzyxhkva,21,92,291,255,12.142857142857142,3.1630434782608696,2.7717391304347827,13.857142857142858
ihzashahamed_6lmprw-o9q,9,17,6,4,0.4444444444444444,0.35294117647058826,0.23529411764705882,0.6666666666666666
induelangovan_1x-ent1m4g,2,7,6,5,2.5,0.8571428571428571,0.7142857142857143,3.0
jacob_q8nbersx1a,1,1,5,5,5.0,5.0,5.0,5.0
